bf_sha,bi_sha
b76b546f0a429c0e4aa8fa5e48b0d4fec0d20567,53dc2b0294ec0686359e5267ae9f6b58f580bf46
d1fa446fb285fdd8d2787a47606c2b4ee031897e,dfdb6af14bd395556f5518764c0681ad5ff1d634
d25c2423925737828e42d2f6e766463dd7925b26,c3281846671b9f914655117cf893e51c02ee6840
5c69cdeaf99ff577902f5ef5c6f257165880eebb,c281cc55064f9df2722d8647f37522f167c9d51c
a73db26da17791faba6d5133dc734a21158c6920,f1b6f8a6ee73779acfab2bf3877ab5137ea41296
b2753f6e2d69fc2a025dc6dc5ea4bc22c38c095c,5c27ec62faa05de5fda9c7eef6e515f6b1682d7e
a22b0ac4e56c222746881beabfcfe96e1c95a8ce,defdcbaa3d0dd5bc4b6622788b2843e13eaceb21
8fff22333c0c1fd116cc5f5b65baf371673c0b33,60bf0ba644b3d091c6a4816b6181fa43d8e837c8
7357814ce8502cd1023fc4e6390a54f22a6bfbdd,2bb85c9cf31d1ebeab684b72560d1d2fdb6e1e74
20ccca7f56e177501394c522aa8837354ddfadc3,161a9032bfb8e4133ce1476edddf493a79464b3d
8a5f8c204061fbf134afd091cf83abe17525b6be,eee3f32d0982afcec45729adc6d1475c490fae77
e91609ff37dcc11530ce4109daa46941c8c4b0d3,1894ff3002e438f057a2e01b781ba5b538d6ca2b
c8e4fa759978f6296e8f40029633b3d85c1e8636,b7ef18f196ec820d7f7cee2f9a4ebde3869b47ea
a22b0ac4e56c222746881beabfcfe96e1c95a8ce,e1fbf8ebbed86397bbf0d98b54be4fbf07490d55
557320b34631b110b455da14ce9a4501918487d0,8b6f134b0ea9835247b1202eefcf0b7c7bc29822
5b543c9a123e979e742be47532ffe3056e8377cb,0fc0be8ede1d4e789e62610ccfa1e1e809b08636
256e34c106ac0b41f9e3839b3def76bab47a701d,13e9ac969e6c59d697bac9d8c2f47860359c96ca
ae7e15c99a86d37f1106c24c18d7118701c22ddd,5561ba3475864250b533ee7d1bcaea4deb1d72ad
2251e91c608203044488164114dd54acc7858e71,074c2005746920d8714cdb6292869bc9cd274642
36de7240ddd7978920424cedc5e7fb2055f05f7d,e2e6df2d1521fc6bea5494ac737595c5ba98200c
35c8aac63b7db92642b77d678dfe13a8fb1b153f,078cb6807d5437ef497a33be8db72d1c390da7f9
0f30d9f25df50410c98f0543e8d95af5bf88b200,b2bdad0983a2f217f6db7cfeb6fe991735d195b7
f8445a06ed205c726d006732d1653716d39507cc,0384cb497e76d0ace873556d3c489b046b01f9bf
5be830e78c0061f12bf5cec5fa1d23b3678ae7e5,f7bb1cac6207cf1ba8607df7229f106391d46275
a46faf7fc981d066b7d125ca773c0864c4cb46e2,1688e0487fa80838a0a0874f50c9218649ceaeb2
79312af704a6b311128d090524780edde05f33e6,bf40e384a399c8e0bcdbbc48638bfe1ebab4c85e
019e6da0cd17a255f62f628066f471491866aab4,bf40e384a399c8e0bcdbbc48638bfe1ebab4c85e
c4fea0d10cf16fc69cc400cb0c29b3090ebe47db,bf03b1e513662885d3c4609e86ee95882cbb3454
e4a6cd26d1fa72405141829014c370a72c057ba3,b329b43ab72449418fb2b0213e2ea40ec1e3c145
0a7300b42629c2eb700d2c4b5e39caa76f4d5305,ac0b976c7c2654f6f70571b37ff531c800a38d03
c053c57033d425e41df833592727aad05a30146f,20f724d2f2fab6996c7588e6d0115f35bfde8d32
3eeed40b05cdf9c804056ac246500a56f7d43bd0,c38ca0b9327f3fbd50e4373aabd1a897fe7052c4
3a42f5bbd6201285e23a69bb6a375ef6b548ec79,11a8fabe8aac6d80a8c96c0419963f6d5362685b
f00ddeb298420c221e519b51831f522a78c85098,765451a0e390a61fcdaaf0f1760dcdf3f49dfffd
16d1062390a6c8178e3897d44378db327ff09a60,d4c5be127041e873548ee485d40179f9b0e94385
7cb9c50193f5cdd4c3143b264c2750cff489aa09,12a4d698bb46cc04c59c2695c48f931bad7fa699
14ddeb6e586f2ff983d77409d9167b9e9108dbf6,450957b7f27f255e0d5721d0ae002a1c9eebc66c
20ccca7f56e177501394c522aa8837354ddfadc3,22e30f3aa071f8b3624dfadc9719264b09e461b4
0145abc3094567abcc6f474f214523918bb0cd5e,30a90d1d093115e6d4c2e2a8baf04d9907fc4ab3
31a6883247f24d16b6c189c6e1539cf0217c9350,0384cb497e76d0ace873556d3c489b046b01f9bf
badd363609f6501ced97ceebcd22e3b00db5fb19,55066b7aaabbea86c7b897b1ad466303513c10da
e385767b66d50ddcb85e81b8b1fadfa2a83da5f1,074c2005746920d8714cdb6292869bc9cd274642
8321cb08f5d4d10bd7d720de21988e1618733d3e,5aa1c753c8ac4be59a70a35d16cf53614d17badc
533426d38ac400750af9e71319ce0f42f2cc47b0,e8085f0938b0d210852e2fcc53358a7d76be82df
de5efcd81f306cdff72e2371546056b8c306369a,ecddaf21091749f9359116e25029dbd28d332e0f
67ff33e0bb039657efdeb38f766e3c5e9a36fd61,bf40e384a399c8e0bcdbbc48638bfe1ebab4c85e
995bd8d1d3c5f35915287e8cd07ae020084dfb35,0723df5517ea1adfc20de434ffb20f7fd170ecc8
0fb28f198e49c9c41e14ad9bae0af5238c0386cf,bf40e384a399c8e0bcdbbc48638bfe1ebab4c85e
5b12d7ea2191db8f39545388dbd8f3650b9ba96a,3defc6011124b786c1d2fa827b93365233d36a70
